"pic_id","measured_radius","inc_std.error","inc_statistic","inc_p.value","slope_std.error","slope_statistic","slope_p.value","model_adj.r.squared","model_sigma","model_statistic","model_p.value","model_df","model_logLik","model_AIC","model_BIC","model_deviance","model_df.residual","n","radius","mean_increment","age","larvae_id","KorTobis_sample_id","right_left","year","sd_lgd","slope","intercept","r2","st_date","st_julian_day","hatch_date","hatch_julian","area","stlondec","stlatdec"
"PK_02_25-04-09_15_i1_vX40",2,0.379485740540931,-1.34308173481661,0.208932303900368,0.00648627660648594,9.01685273473748,4.06901393007146e-06,0.879522866619203,0.215702703653871,81.3036332399429,4.06901393007143e-06,2,2.47291723839635,1.0541655232073,2.5088854725713,0.465276563635899,10,12,82.7170208278578,2.49406325079662,37.1465237731343,"PK_02_25-04-09_15","PK_02_25-04-09","v",2009,24.5,0.0584858009574565,-0.50968036674388,0.890475333290184,2009-04-25,114,2009-03-19,77,"FB",6.43233,56.61817
"PK_02_25-04-09_16_i1_vX40",1,0.289647571510913,-1.86594138539464,0.0767851722096738,0.0056778401293352,10.1640109368706,2.40490201093112e-09,0.829693530387435,0.366095782280458,103.307118324826,2.40490201093111e-09,2,-8.06130960148891,22.1226192029778,25.3957465630528,2.68052243607081,20,22,93.178420470747,2.7252769469792,38.8517372342142,"PK_02_25-04-09_16","PK_02_25-04-09","v",2009,23.5,0.057709629172366,-0.540465390861265,0.837803362273747,2009-04-25,114,2009-03-17,75,"FB",6.43233,56.61817
"PK_02_25-04-09_16_i1_vX40",2,0.251651128007135,0.983887991821091,0.336371310782873,0.00462998657109181,8.92769094949677,1.35806596411326e-08,0.781537247434635,0.366663807153952,79.7036656897266,1.35806596411325e-08,2,-8.51328294034123,23.0265658806825,26.4330485284699,2.82328929700924,21,23,94.9738854398711,2.62382442854229,40.5742767786959,"PK_02_25-04-09_16","PK_02_25-04-09","v",2009,23.5,0.0413350892070279,0.247596522974452,0.791467372551242,2009-04-25,114,2009-03-15,73,"FB",6.43233,56.61817
"PK_02_25-04-09_17_i1_hX40",1,0.425105485644494,0.190976387223357,0.851737095529103,0.0079352221321799,5.63556771710704,0.000109761131119714,0.702922489683828,0.294219753532715,31.759623494099,0.000109761131119714,2,-1.6580880880672,9.3161761761344,11.2333481649802,1.03878316042622,12,14,78.5265887743734,2.28421410049358,37.622199233306,"PK_02_25-04-09_17","PK_02_25-04-09","h",2009,26.5,0.0447194816761863,0.0811851098372159,0.725774605861995,2009-04-25,114,2009-03-18,76,"FB",6.43233,56.61817
"PK_02_25-04-09_17_i1_vX40",2,0.456793579555695,-0.841732324106101,0.415154172151236,0.00916085717837981,5.82290823263873,0.0000594549007233263,0.701532377240942,0.344187946451347,33.9062602857319,0.0000594549007233264,2,-4.21231044811108,14.4246208962222,16.5487714995288,1.54004945227114,13,15,73.946509589991,2.12118845575645,37.4322096858446,"PK_02_25-04-09_17","PK_02_25-04-09","v",2009,26.5,0.0533428306820154,-0.38449792135616,0.722851493152303,2009-04-25,114,2009-03-19,77,"FB",6.43233,56.61817
"PK_02_25-04-09_18_i1_vX40",1,0.34219282958903,-1.94517397603794,0.0695435711325298,0.00675339220856715,9.58257905044127,4.95492964292709e-08,0.842338321176982,0.359289023830838,91.8258212579559,4.95492964292709e-08,2,-6.05553986318484,18.1110797263697,20.7821950000582,2.06541764232507,16,18,83.4495246806596,2.68173899568551,35.6598434011437,"PK_02_25-04-09_18","PK_02_25-04-09","v",2009,27.5,0.0647149146972289,-0.665624586903368,0.851612537578336,2009-04-25,114,2009-03-20,78,"FB",6.43233,56.61817
"PK_02_25-04-09_18_i1_vX40",2,0.226849071215272,0.0992811192418736,0.922229752214587,0.00433728001334817,11.1234950718034,1.21008246965645e-08,0.884669841475035,0.213592672969384,123.732142612434,1.21008246965646e-08,2,3.18456772668757,-0.369135453375141,2.13050457879351,0.684327449193096,15,17,81.3403300192304,2.46714006098308,36.8629297498369,"PK_02_25-04-09_18","PK_02_25-04-09","v",2009,27.5,0.0482457128535096,0.0225218296892317,0.891877976382845,2009-04-25,114,2009-03-19,77,"FB",6.43233,56.61817
"PK_02_25-04-09_19_i1_vX40",2,0.198668970958745,1.1000174758452,0.28438919593341,0.00325039858386876,11.4930308095172,2.90382468526096e-10,0.861923640433124,0.229097113498366,132.089757188513,2.90382468526097e-10,2,2.25116860338257,1.49766279323487,4.77079015330982,1.04970974826566,20,22,97.8077465605957,2.41900727371041,44.1651560977945,"PK_02_25-04-09_19","PK_02_25-04-09","v",2009,27.5,0.0373569310676149,0.218539339962802,0.868498705174403,2009-04-25,114,2009-03-12,70,"FB",6.43233,56.61817
"PK_02_25-04-09_20_i1_hX40",1,0.238430512814517,-2.56875683159898,0.0175142371275705,0.00433909130192692,14.8989228891628,5.62772363461916e-13,0.90572916771175,0.377778339813178,221.977903257218,5.62772363461911e-13,2,-9.64764448164993,25.2952889632999,28.8294504543437,3.13976242870403,22,24,98.8469615443535,3.22912650225457,36.4174272792666,"PK_02_25-04-09_20","PK_02_25-04-09","h",2009,34,0.064647786716446,-0.61247000865394,0.90982789955037,2009-04-25,114,2009-03-20,78,"FB",6.43233,56.61817
"PK_02_25-04-09_20_i1_vX40",2,0.30050443513712,1.08959359716557,0.287683797475615,0.00531109283279616,7.75424800579026,9.87010177136941e-08,0.719950582210459,0.44616161275143,60.1283621353022,9.87010177136941e-08,2,-13.6406115009676,33.2812230019352,36.815384492979,4.37932406324506,22,24,99.3981525623033,2.78604646757584,40.4985026223874,"PK_02_25-04-09_20","PK_02_25-04-09","v",2009,34,0.0411835310072766,0.327427708445262,0.732126643853482,2009-04-25,114,2009-03-16,74,"FB",6.43233,56.61817
"PK_03_24-04-08_01_i2_vX40",2,0.304750262788679,1.53824945722362,0.138247446409564,0.00469181599479599,7.07223878105089,4.28742489048295e-07,0.680629016986071,0.425689062611263,50.0165613762001,4.28742489048296e-07,2,-12.5132818924045,31.026563784809,34.5607252758528,3.98664591659083,22,24,108.219354103341,2.59604634514563,45.9821953750182,"PK_03_24-04-08_01","PK_03_24-04-08","v",2008,34,0.033181643031951,0.46878192632344,0.69451471189972,2008-04-24,114,2008-03-09,68,"FB",6.66567,57.0755
