"pic_id","mark_no"
"DA_04_18-04-08_05_i1_hX40",5
"DA_04_18-04-08_05_i1_hX40",6
"DA_04_18-04-08_05_i1_vX40",2
"DA_04_18-04-08_05_i1_vX40",3
"DA_04_18-04-08_05_i1_vX40",4
"DA_04_18-04-08_05_i1_vX40",5
"DA_04_18-04-08_06_i1_hX40",2
"DA_04_18-04-08_06_i1_hX40",3
"DA_04_18-04-08_06_i1_hX40",4
"DA_04_18-04-08_06_i1_vX40",2
"DA_04_18-04-08_06_i1_vX40",3
"DA_04_18-04-08_06_i1_vX40",4
"DA_04_18-04-08_07_i1_hX40",2
"DA_04_18-04-08_07_i1_hX40",3
"DA_04_18-04-08_07_i1_hX40",4
"DA_04_18-04-08_07_i1_vX40",2
"DA_04_18-04-08_07_i1_vX40",3
"DA_04_18-04-08_07_i1_vX40",4
"DA_04_18-04-08_07_i1_vX40",5
"DA_04_18-04-08_07_i1_vX40",6
"DA_04_18-04-08_07_i1_vX40",7
"DA_04_18-04-08_07_i1_vX40",8
"DA_04_18-04-08_07_i1_vX40",9
"DA_04_18-04-08_08_i1_hX40",2
"DA_04_18-04-08_08_i1_hX40",3
"DA_04_18-04-08_08_i1_hX40",5
"DA_04_18-04-08_08_i1_hX40",6
"DA_04_18-04-08_08_i1_hX40",7
"DA_04_18-04-08_08_i1_hX40",8
"DA_04_18-04-08_08_i1_hX40",9
"DA_04_18-04-08_09_i1_hX40",2
"DA_04_18-04-08_09_i1_vX40",2
"DA_04_18-04-08_09_i1_vX40",3
"DA_04_18-04-08_09_i1_vX40",4
"DA_04_18-04-08_09_i1_vX40",5
"DA_04_18-04-08_09_i1_vX40",6
"DA_04_18-04-08_10_i1_hX40",2
"DA_04_18-04-08_10_i1_hX40",3
"DA_04_18-04-08_10_i1_hX40",4
"DA_04_18-04-08_10_i1_hX40",5
"DA_04_18-04-08_10_i1_hX40",6
"DA_04_18-04-08_10_i1_hX40",7
"DA_04_18-04-08_11_i1_hX40",2
"DA_04_18-04-08_11_i1_hX40",3
"DA_04_18-04-08_11_i1_vX40",2
"DA_04_18-04-08_11_i1_vX40",3
"DA_04_18-04-08_11_i1_vX40",4
"DA_04_18-04-08_11_i1_vX40",5
"DA_04_18-04-08_11_i1_vX40",6
"DA_04_18-04-08_11_i1_vX40",7
"DA_04_18-04-08_11_i1_vX40",8
"DA_04_18-04-08_11_i1_vX40",9
"DA_04_18-04-08_12_i1_hX40",2
"DA_04_18-04-08_12_i1_hX40",3
"DA_04_18-04-08_12_i1_hX40",4
"DA_04_18-04-08_13_i1_vX40",2
"DA_04_18-04-08_13_i1_vX40",3
"DA_04_18-04-08_13_i1_vX40",4
"DA_04_18-04-08_14_i1_hX40",2
"DA_04_18-04-08_15_i1_hX40",2
"DA_04_18-04-08_15_i1_hX40",3
"DA_04_18-04-08_15_i1_hX40",4
"DA_04_18-04-08_15_i1_hX40",5
"DA_04_18-04-08_16_i1_vX40",2
"DA_04_18-04-08_16_i1_vX40",3
"DA_04_18-04-08_17_i1_hX40",3
"DA_04_18-04-08_17_i1_hX40",2
"DA_04_18-04-08_17_i1_vX40",2
"DA_04_18-04-08_17_i1_vX40",3
"DA_04_18-04-08_18_i1_vX40",2
"DA_04_18-04-08_19_i1_hX40",2
"DA_04_18-04-08_20_i1_hX40",2
"DA_04_18-04-08_20_i1_hX40",3
"DA_05_20-04-08_01_i1_vX40",6
"DA_05_20-04-08_01_i1_vX40",5
"DA_05_20-04-08_02_i1_hX20",2
"DA_05_20-04-08_02_i1_hX20",3
"DA_05_20-04-08_02_i1_hX20",4
"DA_05_20-04-08_03_i1_hX20",2
"DA_05_20-04-08_03_i1_hX20",3
"DA_05_20-04-08_03_i1_hX20",4
"DA_05_20-04-08_03_i1_vX20",18
"DA_05_20-04-08_03_i1_vX20",19
"DA_05_20-04-08_03_i1_vX20",30
"DA_05_20-04-08_03_i1_vX20",31
"DA_05_20-04-08_04_i1_hX20",22
"DA_05_20-04-08_04_i1_hX20",23
"DA_05_20-04-08_04_i1_hX20",24
"DA_05_20-04-08_04_i1_vX40",12
"DA_05_20-04-08_04_i1_vX40",24
"DA_05_20-04-08_04_i1_vX40",27
"DA_05_20-04-08_04_i1_vX40",28
"DA_05_20-04-08_07_i1_vX40",2
"DA_05_20-04-08_08_i1_hX40",2
"DA_05_20-04-08_08_i1_hX40",3
"DA_05_20-04-08_09_i1_hX40",2
"DA_05_20-04-08_09_i1_hX40",3
"DA_05_20-04-08_09_i1_hX40",4
"DA_05_20-04-08_09_i1_hX40",5
"DA_05_20-04-08_10_i1_hX40",2
"DA_05_20-04-08_10_i1_hX40",3
"DA_05_20-04-08_10_i1_hX40",4
"DA_05_20-04-08_12_i1_vX40",2
"DA_05_20-04-08_13_i1_hX40",2
"DA_05_20-04-08_14_i1_vX40",2
"DA_05_20-04-08_15_i1_hX40",2
"DA_05_20-04-08_15_i1_hX40",3
"DA_05_20-04-08_15_i1_hX40",4
"DA_05_20-04-08_15_i1_vX40",2
"DA_05_20-04-08_15_i1_vX40",3
"DA_05_20-04-08_15_i1_vX40",4
"DA_05_20-04-08_16_i1_hX40",2
"DA_05_20-04-08_16_i1_vX40",2
"DA_05_20-04-08_16_i1_vX40",3
"DA_05_20-04-08_16_i1_vX40",2
"DA_05_20-04-08_16_i1_vX40",3
"DA_05_20-04-08_16_i1_vX40",4
"DA_05_20-04-08_16_i1_vX40",5
"DA_05_20-04-08_16_i1_vX40",6
"DA_05_20-04-08_16_i1_vX40",7
"DA_05_20-04-08_17_i1_hX40",2
"DA_05_20-04-08_17_i1_hX40",3
"DA_05_20-04-08_17_i1_hX40",4
"DA_05_20-04-08_17_i1_vX40",2
"DA_05_20-04-08_17_i1_vX40",3
"DA_05_20-04-08_17_i1_vX40",4
"DA_05_20-04-08_18_i1_vX40",2
"DA_05_20-04-08_18_i1_vX40",3
"DA_05_20-04-08_19_i1_hX40",3
"DA_05_20-04-08_19_i1_hX40",2
"DA_05_20-04-08_19_i1_vX40",2
"DA_05_20-04-08_19_i1_vX40",3
"DA_05_20-04-08_19_i1_vX40",4
"DA_05_20-04-08_19_i1_vX40",5
"DA_05_20-04-08_19_i1_vX40",6
"DA_05_20-04-08_19_i1_vX40",7
"DA_05_20-04-08_20_i1_hX40",2
"DA_05_20-04-08_20_i1_hX40",3
"DA_05_20-04-08_20_i1_hX40",4
"DA_05_20-04-08_20_i1_hX40",5
"DA_05_20-04-08_20_i1_vX40",2
"DA_05_20-04-08_20_i1_vX40",3
"DA_05_20-04-08_20_i1_vX40",4
"PK_01_15-04-08_01_i1_hX60",2
"PK_01_15-04-08_01_i1_hX60",3
"PK_01_15-04-08_01_i1_vX60",2
"PK_01_15-04-08_02_i1_vX60",2
"PK_01_15-04-08_02_i1_vX60",3
"PK_01_15-04-08_06_i1_hX60",2
"PK_01_15-04-08_06_i1_hX60",3
"PK_01_15-04-08_06_i1_hX60",4
"PK_01_15-04-08_06_i1_hX60",5
"PK_01_15-04-08_06_i1_hX60",6
"PK_01_15-04-08_06_i1_hX60",7
"PK_01_15-04-08_06_i1_hX60",8
"PK_01_15-04-08_06_i1_hX60",9
"PK_01_15-04-08_06_i1_hX60",10
"PK_01_15-04-08_06_i1_vX60",2
"PK_01_15-04-08_06_i1_vX60",3
"PK_01_15-04-08_06_i1_vX60",4
"PK_01_15-04-08_06_i1_vX60",5
"PK_01_15-04-08_08_i1_vX40",5
"PK_01_15-04-08_08_i1_vX40",2
"PK_01_15-04-08_08_i1_vX40",3
"PK_01_15-04-08_08_i1_vX40",4
"PK_01_15-04-08_09_i1_hX40",2
"PK_01_15-04-08_09_i1_vX60",3
"PK_01_15-04-08_10_i1_hX40",2
"PK_01_15-04-08_11_i1_hX40",2
"PK_01_15-04-08_11_i1_hX40",3
"PK_01_15-04-08_11_i1_vX40",2
"PK_01_15-04-08_12_i1_hX40",2
"PK_01_15-04-08_12_i1_hX40",3
"PK_01_15-04-08_13_i1_hX40",2
"PK_01_15-04-08_13_i1_vX40",2
"PK_01_15-04-08_14_i1_hX40",2
"PK_01_15-04-08_14_i1_hX40",3
"PK_01_15-04-08_15_i1_hX40",2
"PK_01_15-04-08_15_i1_vX60",2
"PK_01_15-04-08_15_i1_vX60",3
"PK_01_15-04-08_16_i1_hX40",2
"PK_01_15-04-08_16_i1_hX40",3
"PK_01_15-04-08_18_i1_hX40",2
"PK_01_15-04-08_18_i1_hX40",3
"PK_01_15-04-08_19_i1_hX40",2
"PK_01_15-04-08_19_i1_hX40",3
"PK_03_24-04-08_01_i1_hX40",2
"PK_03_24-04-08_03_i1_hX40",2
"PK_03_24-04-08_03_i1_hX40",3
"PK_03_24-04-08_03_i1_hX40",4
"PK_03_24-04-08_06_i1_hX40",2
"PK_03_24-04-08_06_i1_hX40",3
"PK_03_24-04-08_07_i1_hX40",3
"PK_03_24-04-08_07_i1_hX40",2
"PK_03_24-04-08_08_i1_hX40",2
"PK_03_24-04-08_08_i1_hX40",3
"PK_03_24-04-08_09_i1_hX40",3
"PK_03_24-04-08_09_i1_hX40",2
"PK_03_24-04-08_09_i1_hX40",4
"PK_03_24-04-08_09_i1_vX40",2
"PK_03_24-04-08_11_i1_hX40",7
"PK_03_24-04-08_12_i1_hX40",2
"PK_03_24-04-08_13_i1_hX40",2
"PK_03_24-04-08_13_i1_vX40",2
"PK_03_24-04-08_13_i1_vX40",3
"PK_03_24-04-08_13_i1_vX40",4
"PK_03_24-04-08_14_i1_hX40",2
"PK_03_24-04-08_14_i1_hX40",3
"PK_03_24-04-08_14_i1_hX40",4
"PK_03_24-04-08_14_i1_hX40",5
"PK_03_24-04-08_14_i1_hX40",6
"PK_03_24-04-08_14_i1_hX40",7
"PK_03_24-04-08_14_i1_hX40",8
"PK_03_24-04-08_14_i1_hX40",9
"PK_03_24-04-08_15_i1_hX40",2
"PK_03_24-04-08_15_i1_hX40",3
"PK_03_24-04-08_15_i1_hX40",4
"PK_03_24-04-08_18_i1_vX40",2
"PK_03_24-04-08_19_i1_hX40",2
"PK_03_24-04-08_19_i1_hX40",3
"PK_03_24-04-08_19_i1_hX40",4
"PK_03_24-04-08_19_i1_vX40",2
"PK_03_24-04-08_19_i1_vX40",3
"PK_03_24-04-08_19_i1_vX40",4
"PK_03_24-04-08_19_i1_vX40",5
"PK_03_24-04-08_19_i1_vX40",6
"PK_03_24-04-08_20_i1_hX40",2
"PK_03_24-04-08_20_i1_hX40",3
"PK_04_24-04-08_01_i1_hX40",2
"PK_04_24-04-08_01_i1_hX40",3
"PK_04_24-04-08_01_i1_hX40",4
"PK_04_24-04-08_01_i1_hX40",5
"PK_04_24-04-08_01_i1_hX40",6
"PK_04_24-04-08_01_i1_vX40",2
"PK_04_24-04-08_01_i1_vX40",3
"PK_04_24-04-08_01_i1_vX40",4
"PK_04_24-04-08_01_i1_vX40",5
"PK_04_24-04-08_01_i1_vX40",6
"PK_04_24-04-08_01_i1_vX40",7
"PK_04_24-04-08_01_i1_vX40",8
"PK_04_24-04-08_01_i1_vX40",9
"PK_04_24-04-08_02_i1_hX40",2
"PK_04_24-04-08_02_i1_hX40",3
"PK_04_24-04-08_02_i1_hX40",4
"PK_04_24-04-08_02_i1_hX40",5
"PK_04_24-04-08_02_i1_hX40",6
"PK_04_24-04-08_02_i1_hX40",7
"PK_04_24-04-08_02_i1_hX40",8
"PK_04_24-04-08_02_i1_hX40",9
"PK_04_24-04-08_02_i1_hX40",10
"PK_04_24-04-08_02_i1_hX40",11
"PK_04_24-04-08_02_i1_hX40",12
"PK_04_24-04-08_02_i1_hX40",13
"PK_04_24-04-08_03_i1_hX40",2
"PK_04_24-04-08_03_i1_hX40",3
"PK_04_24-04-08_03_i1_hX40",4
"PK_04_24-04-08_03_i1_hX40",5
"PK_04_24-04-08_03_i1_hX40",6
"PK_04_24-04-08_04_i1_hX40",2
"PK_04_24-04-08_04_i1_hX40",3
"PK_04_24-04-08_04_i1_hX40",4
"PK_04_24-04-08_04_i1_hX40",5
"PK_04_24-04-08_04_i1_hX40",6
