larvae_id,tlgd,sd_lgd
PK_06_26-04-09_07,NA,NA
PK_06_26-04-09_08,NA,31
PK_06_26-04-09_09,NA,35.5
PK_06_26-04-09_10,NA,35.5
PK_06_26-04-09_11,NA,35.6
PK_06_26-04-09_12,NA,33.6
PK_06_26-04-09_13,NA,37.5
PK_06_26-04-09_14,NA,41
PK_06_26-04-09_15,NA,43
PK_06_26-04-09_16,NA,43
PK_06_26-04-09_17,NA,44
PK_06_26-04-09_18,NA,46
PK_06_26-04-09_19,NA,53
PK_06_26-04-09_20,NA,53.8
PK_06_18-04-09_01,32.1,29.2
PK_06_18-04-09_02,28.7,26.2
PK_06_18-04-09_03,39.9,36.7
PK_06_18-04-09_04,30.3,27.7
PK_06_18-04-09_05,26.5,24.6
PK_06_18-04-09_06,43.6,39.8
PK_06_18-04-09_07,39,35.5
PK_06_18-04-09_08,40.1,36.5
PK_06_18-04-09_09,32.2,29.6
PK_06_18-04-09_10,29,26.6
PK_06_18-04-09_11,32.8,29.8
PK_06_18-04-09_12,40.5,36.9
PK_06_18-04-09_13,22.8,20.4
PK_06_18-04-09_14,36.5,33.3
PK_06_18-04-09_15,44.8,40.6
PK_06_18-04-09_16,31,28.8
PK_06_18-04-09_17,35.2,32
PK_06_18-04-09_18,40.8,37.2
PK_06_18-04-09_19,39.9,37.2
PK_06_18-04-09_20,40.2,36.4
PK_08_27-04-09_01,15.1,13.6
PK_08_27-04-09_02,17.4,15.7
PK_08_27-04-09_03,16.9,15.1
PK_08_27-04-09_04,21.5,19.3
PK_08_27-04-09_05,24.5,22.7
PK_08_27-04-09_06,26,23.9
PK_08_27-04-09_07,25.1,22.8
PK_08_27-04-09_08,29.5,27.1
PK_08_27-04-09_09,32.4,29.4
PK_08_27-04-09_10,37.4,34
PK_08_27-04-09_11,37.9,34.4
PK_08_27-04-09_12,36.3,32.8
PK_08_27-04-09_13,42.9,39.2
PK_08_27-04-09_14,41.5,37.6
PK_08_27-04-09_15,41.1,37.3
PK_08_27-04-09_16,44.5,41.6
PK_08_27-04-09_17,40.4,37.1
PK_08_27-04-09_18,42.7,39
PK_08_27-04-09_19,47,42
PK_08_27-04-09_20,51.6,47.4
